time,station_id,station_status,bikes_available,ebikes_available,bikes_disabled,docks_available,docks_disabled
2020-09-23 16:44:25,3074,active,12,0,1,29,0
2020-09-23 16:44:25,3075,active,27,0,2,4,0
2020-09-23 16:44:25,3076,active,7,0,1,28,0
2020-09-23 16:44:25,3077,active,8,0,1,23,0
2020-09-23 16:44:25,3078,active,24,0,0,3,0
2020-09-23 16:44:25,3080,active,6,0,4,11,0
2020-09-23 16:44:25,3081,active,12,1,1,16,0
2020-09-23 16:44:25,3082,active,7,0,1,17,0
2020-09-23 16:44:25,3083,active,5,0,0,27,0
2020-09-23 16:44:25,3085,active,15,0,1,9,0
2020-09-23 16:44:25,3087,active,17,2,1,12,0
2020-09-23 16:44:25,3088,active,10,0,1,8,0
2020-09-23 16:44:25,3092,active,23,1,2,2,0
2020-09-23 16:44:25,3093,active,26,0,1,1,0
2020-09-23 16:44:25,3094,active,5,0,0,13,0
2020-09-23 16:44:25,3095,active,23,1,0,3,0
2020-09-23 16:44:25,3096,active,13,0,1,25,0
2020-09-23 16:44:25,3100,active,43,0,2,6,0
2020-09-23 16:44:25,3102,active,22,0,2,3,0
2020-09-23 16:44:25,3105,active,22,0,0,2,0
2020-09-23 16:44:25,3106,active,5,0,0,17,0
2020-09-23 16:44:25,3107,active,16,0,2,21,0
2020-09-23 16:44:25,3108,active,41,1,1,9,0
2020-09-23 16:44:25,3109,active,24,0,1,6,0
2020-09-23 16:44:25,3110,active,25,0,1,2,0
2020-09-23 16:44:25,3112,active,29,2,1,3,0
2020-09-23 16:44:25,3113,active,26,0,0,1,0
2020-09-23 16:44:25,3115,active,46,0,0,4,0
2020-09-23 16:44:25,3116,active,31,2,0,4,0
2020-09-23 16:44:25,3117,active,18,0,1,8,0
2020-09-23 16:44:25,3118,active,15,0,3,24,0
2020-09-23 16:44:25,3119,active,8,0,1,36,0
2020-09-23 16:44:25,3121,active,12,2,0,15,0
2020-09-23 16:44:25,3122,active,4,1,1,74,0
2020-09-23 16:44:25,3123,active,45,0,1,1,0
2020-09-23 16:44:25,3124,active,22,0,0,21,0
2020-09-23 16:44:25,3125,active,12,0,0,11,0
2020-09-23 16:44:25,3126,active,23,0,4,7,0
2020-09-23 16:44:25,3128,active,7,0,0,20,0
2020-09-23 16:44:25,3129,active,8,0,2,21,0
2020-09-23 16:44:25,3130,active,27,0,0,3,0
2020-09-23 16:44:25,3131,active,1,0,0,30,0
2020-09-23 16:44:25,3132,active,30,1,2,3,0
2020-09-23 16:44:25,3134,active,5,2,2,44,0
2020-09-23 16:44:25,3135,active,3,2,1,37,0
2020-09-23 16:44:25,3136,active,37,6,2,8,0
2020-09-23 16:44:25,3137,active,15,1,2,14,0
2020-09-23 16:44:25,3139,active,4,2,0,39,0
2020-09-23 16:44:25,3140,active,2,0,2,51,0
2020-09-23 16:44:25,3141,active,10,0,4,44,0
2020-09-23 16:44:25,3142,active,17,0,3,21,0
2020-09-23 16:44:25,3143,active,40,0,2,5,0
2020-09-23 16:44:25,3144,active,0,0,1,45,0
2020-09-23 16:44:25,3145,active,1,0,2,42,0
2020-09-23 16:44:25,3146,active,1,0,2,44,0
2020-09-23 16:44:25,3147,active,4,0,0,35,0
2020-09-23 16:44:25,3148,active,2,0,2,27,0
2020-09-23 16:44:25,3150,active,1,0,1,45,0
2020-09-23 16:44:25,3151,active,0,0,0,43,0
2020-09-23 16:44:25,3152,active,4,2,0,38,0
2020-09-23 16:44:25,3154,active,3,1,0,28,0
2020-09-23 16:44:25,3156,active,21,0,3,13,0
